iter	Logloss
0	0.6179911449
1	0.561235681
2	0.5147268985
3	0.4786420908
4	0.45114863
5	0.4285464708
6	0.4120039614
7	0.397536332
8	0.3863924378
9	0.3773153355
10	0.3699343654
11	0.3640716404
12	0.3587860056
13	0.3540632902
14	0.3493995938
15	0.3456055104
16	0.3434281489
17	0.3407458858
18	0.3388466009
19	0.3369946807
20	0.3357432645
21	0.3345580477
22	0.3330852865
23	0.3322331767
24	0.3313887527
25	0.3303955908
26	0.3293333601
27	0.3284860617
28	0.3277432346
29	0.3272744177
30	0.3268195096
31	0.3264465619
32	0.3259226191
33	0.325626291
34	0.3253588537
35	0.325089045
36	0.3246756639
37	0.3243219228
38	0.3240981941
39	0.3238329526
40	0.3236636298
41	0.3234967556
42	0.3233094593
43	0.3230833947
44	0.3229391108
45	0.3227775303
46	0.3226199363
47	0.3224667012
48	0.3223421045
49	0.322232808
50	0.3221270365
51	0.3220115378
52	0.3219109177
53	0.321813501
54	0.3217047255
55	0.3216223576
56	0.3215232324
57	0.321386564
58	0.3212207079
59	0.3211141209
60	0.3210019171
61	0.3208865609
62	0.3207912834
63	0.320689731
64	0.3206111451
65	0.3205485861
66	0.3204856499
67	0.3203746879
68	0.320307964
69	0.3202177173
70	0.3201633696
71	0.3200955505
72	0.3200164845
73	0.3199538888
74	0.3198980418
75	0.3198358871
76	0.3197759492
77	0.3197098914
78	0.3196400358
79	0.3195923698
80	0.3195152845
81	0.319453656
82	0.3193775369
83	0.3193169663
84	0.3192689143
85	0.3192108897
86	0.3191728609
87	0.3191381508
88	0.3190841265
89	0.3190324318
90	0.3189901344
91	0.3189425661
92	0.3188870808
93	0.3188457226
94	0.318777139
95	0.3187167236
96	0.3186631574
97	0.3186123118
98	0.318558892
99	0.3185086843
100	0.318448918
101	0.3183823186
102	0.318326231
103	0.3182780902
104	0.3182066733
105	0.3181498079
106	0.3180959294
107	0.318060148
108	0.3180286978
109	0.3179922889
110	0.317926818
111	0.3178775342
112	0.3178165553
113	0.3177677104
114	0.3177373719
115	0.3177002584
116	0.3176628663
117	0.3176116347
118	0.3175795025
119	0.3175362705
120	0.3174894911
121	0.3174289819
122	0.3173960513
123	0.3173465226
124	0.3172983203
125	0.3172209534
126	0.3171787846
127	0.3171311365
128	0.3170819351
129	0.317054094
130	0.3170089273
131	0.3169770882
132	0.3169279291
133	0.3168748457
134	0.3168334798
135	0.3167936671
136	0.3167407777
137	0.3166837765
138	0.3166408053
139	0.3166076393
140	0.3165413183
141	0.3165003108
142	0.3164554964
143	0.3164165939
144	0.3163479042
145	0.3163060582
146	0.3162805641
147	0.3162382803
148	0.3161881858
149	0.3161325424
150	0.3160649139
151	0.3160143916
152	0.3159728145
153	0.3159334551
154	0.3158953301
155	0.3158450869
156	0.3157999929
157	0.3157616337
158	0.315725412
159	0.3156712128
160	0.3156266243
161	0.3155828174
162	0.3155331989
