iter	Passed	Remaining
0	66	65988
1	72	35984
2	77	25810
3	83	20761
4	89	17773
5	95	15830
6	101	14421
7	107	13356
8	114	12579
9	120	11927
10	126	11377
11	132	10943
12	138	10540
13	145	10237
14	151	9967
15	157	9706
16	163	9468
17	170	9293
18	175	9073
19	181	8887
20	187	8736
21	193	8600
22	199	8466
23	205	8376
24	213	8308
25	219	8215
26	225	8135
27	232	8072
28	239	8008
29	245	7939
30	251	7850
31	257	7782
32	264	7736
33	270	7674
34	276	7620
35	282	7558
36	288	7510
37	294	7455
38	300	7405
39	306	7350
40	311	7288
41	317	7245
42	323	7198
43	329	7166
44	335	7130
45	342	7106
46	348	7058
47	354	7026
48	359	6979
49	365	6948
50	371	6911
51	377	6879
52	383	6846
53	389	6815
54	394	6779
55	400	6751
56	406	6727
57	412	6701
58	418	6668
59	424	6649
60	430	6626
61	436	6601
62	442	6578
63	447	6549
64	453	6524
65	459	6497
66	465	6475
67	470	6449
68	476	6429
69	481	6399
70	487	6378
71	493	6358
72	499	6340
73	505	6322
74	510	6300
75	516	6282
76	522	6266
77	528	6244
78	534	6227
79	540	6215
80	546	6200
81	552	6184
82	557	6161
83	563	6144
84	569	6132
85	575	6116
86	581	6101
87	586	6082
88	593	6070
89	599	6058
90	605	6052
91	612	6043
92	618	6034
93	625	6027
94	631	6012
95	636	5994
96	642	5984
97	649	5978
98	655	5967
99	661	5956
100	668	5950
101	674	5936
102	680	5927
103	686	5915
104	692	5905
105	698	5889
106	704	5879
107	710	5866
108	716	5853
109	722	5845
110	728	5838
111	734	5825
112	740	5813
113	746	5800
114	752	5789
115	758	5779
116	764	5771
117	770	5761
118	776	5751
119	782	5738
120	788	5728
121	793	5713
122	799	5702
123	806	5694
124	811	5683
125	818	5677
126	824	5665
127	830	5658
128	836	5648
129	841	5634
130	848	5625
131	853	5615
132	860	5606
133	867	5603
134	872	5591
135	878	5581
136	884	5570
137	890	5561
138	895	5548
139	901	5540
140	907	5528
141	913	5518
142	919	5508
143	925	5498
144	931	5491
145	936	5478
146	942	5468
147	948	5461
148	954	5451
149	960	5442
150	966	5433
151	972	5428
152	978	5417
153	984	5410
154	993	5413
155	1013	5481
156	1024	5501
157	1032	5501
158	1038	5495
159	1045	5489
160	1052	5485
161	1060	5486
162	1068	5484
163	1075	5480
164	1085	5492
165	1091	5485
166	1099	5484
167	1108	5490
168	1116	5490
169	1125	5497
170	1137	5513
171	1147	5523
172	1156	5527
173	1164	5529
174	1172	5528
175	1179	5524
176	1187	5522
177	1208	5581
178	1242	5698
179	1265	5765
180	1274	5768
181	1284	5772
182	1292	5770
183	1301	5771
184	1311	5778
185	1320	5779
186	1328	5776
187	1336	5771
188	1344	5770
189	1353	5769
190	1362	5770
191	1370	5768
192	1377	5760
193	1386	5759
194	1395	5762
195	1403	5758
196	1410	5747
197	1416	5736
198	1423	5729
199	1430	5721
200	1436	5711
201	1443	5702
202	1450	5693
203	1456	5682
204	1462	5672
205	1469	5662
206	1475	5653
207	1482	5644
208	1488	5633
209	1495	5626
210	1502	5617
211	1508	5607
212	1514	5597
213	1521	5586
214	1527	5578
215	1534	5569
216	1540	5558
217	1547	5552
218	1554	5543
219	1561	5536
220	1569	5532
221	1576	5524
222	1583	5516
223	1589	5507
224	1596	5498
225	1603	5492
226	1611	5487
227	1618	5481
228	1626	5475
229	1633	5467
230	1640	5461
231	1647	5455
232	1654	5446
233	1661	5437
234	1667	5429
235	1674	5421
236	1681	5414
237	1688	5407
238	1695	5397
239	1702	5390
240	1708	5381
241	1715	5374
242	1722	5365
243	1728	5356
244	1734	5346
245	1741	5337
246	1747	5327
247	1753	5318
248	1760	5308
249	1766	5299
250	1772	5289
251	1778	5280
252	1785	5270
253	1791	5261
254	1797	5252
255	1804	5243
256	1810	5233
257	1816	5224
258	1823	5216
259	1829	5207
260	1835	5197
261	1841	5186
262	1847	5177
263	1854	5169
264	1860	5159
265	1866	5149
266	1872	5139
267	1878	5130
268	1884	5119
269	1890	5110
270	1896	5100
271	1902	5091
272	1908	5082
273	1914	5072
274	1920	5063
275	1926	5054
276	1932	5043
277	1938	5034
278	1944	5024
279	1950	5014
280	1956	5005
281	1961	4995
282	1967	4985
283	1973	4975
284	1979	4964
285	1984	4953
286	1990	4944
287	1996	4934
288	2001	4925
289	2007	4915
290	2013	4906
291	2019	4896
292	2025	4888
293	2031	4879
294	2037	4869
295	2043	4860
296	2049	4850
297	2054	4840
298	2060	4831
299	2066	4821
300	2072	4812
301	2077	4802
302	2083	4792
303	2089	4783
304	2095	4774
305	2101	4765
306	2106	4756
307	2112	4747
308	2118	4737
309	2124	4728
310	2130	4719
311	2136	4710
312	2142	4701
313	2148	4692
314	2153	4683
315	2160	4675
316	2166	4667
317	2172	4658
318	2178	4650
319	2184	4641
320	2190	4634
321	2196	4625
322	2203	4617
323	2209	4609
324	2215	4601
325	2221	4593
326	2228	4585
327	2234	4578
328	2241	4571
329	2247	4562
330	2253	4554
331	2259	4546
332	2265	4538
333	2271	4530
334	2278	4522
335	2284	4515
336	2291	4507
337	2297	4499
338	2303	4491
339	2309	4483
340	2315	4475
341	2321	4467
342	2328	4459
343	2334	4451
344	2340	4443
345	2346	4435
346	2352	4426
347	2359	4420
348	2365	4412
349	2371	4404
350	2378	4398
351	2385	4391
352	2391	4383
353	2397	4375
354	2403	4367
355	2410	4360
356	2417	4353
