iter	Accuracy	Logloss
0	1	0.6034960266
1	1	0.531880723
2	1	0.4723499977
3	1	0.4209632492
4	1	0.3743397363
5	1	0.3359231701
6	1	0.3028545695
7	1	0.2735064572
8	1	0.2466576403
9	1	0.2224016149
10	1	0.1998325623
11	1	0.1812114624
12	1	0.1633392972
13	1	0.1485899392
14	1	0.1355158635
15	1	0.1233573827
16	1	0.1124854172
17	1	0.1027421251
18	1	0.09344028214
19	1	0.0857151643
20	1	0.0787052217
21	1	0.07274170793
22	1	0.06757803797
23	1	0.06227668849
24	1	0.05814030689
25	1	0.05436520627
26	1	0.0501948313
27	1	0.04651969706
28	1	0.04345588428
29	1	0.04030234559
30	1	0.03706801427
31	1	0.03466808623
32	1	0.03248572866
33	1	0.03067842589
34	1	0.02893575503
35	1	0.02716362997
36	1	0.02591774865
37	1	0.02447068795
38	1	0.0232035148
39	1	0.02188142246
40	1	0.02088909279
41	1	0.0198341843
42	1	0.01902167498
43	1	0.01806371809
44	1	0.01712158262
45	1	0.01641735132
46	1	0.01536621952
47	1	0.0146490085
48	1	0.01412100381
49	1	0.01365473581
50	1	0.01312554977
51	1	0.01268905366
52	1	0.01220271368
53	1	0.01183647213
54	1	0.01149135839
55	1	0.01116169165
56	1	0.01077254765
57	1	0.01040244066
58	1	0.0100396642
59	1	0.009774424158
60	1	0.009528117676
61	1	0.009232889192
62	1	0.008937121597
63	1	0.008685068542
64	1	0.008446079783
65	1	0.008243392949
66	1	0.008000074856
67	1	0.007771096079
68	1	0.007571502061
69	1	0.007405439022
70	1	0.007216733613
71	1	0.007074003148
72	1	0.006894799651
73	1	0.006738103292
74	1	0.006610110702
75	1	0.006422109281
76	1	0.006299218574
77	1	0.006147868464
78	1	0.00604856104
79	1	0.005915951647
80	1	0.005810583034
81	1	0.005680055823
82	1	0.005582524023
83	1	0.005461322458
84	1	0.005370817803
85	1	0.005262290929
86	1	0.00517798764
87	1	0.00510327247
88	1	0.005007541239
89	1	0.004930880958
90	1	0.004863597294
91	1	0.004797741763
92	1	0.004727146287
93	1	0.004658593399
94	1	0.004598996168
95	1	0.004534001474
96	1	0.004461575858
97	1	0.004405860421
98	1	0.004346061628
99	1	0.004293414943
