iter	Passed	Remaining
0	1	124
1	1	85
2	2	66
3	2	58
4	2	54
5	3	51
6	3	48
7	4	53
8	5	50
9	5	48
10	5	45
11	6	44
12	6	42
13	7	45
14	7	43
15	8	42
16	8	40
17	8	39
18	9	38
19	9	37
20	9	36
21	10	35
22	10	35
23	10	34
24	11	33
25	11	32
26	11	32
27	12	31
28	12	30
29	12	30
30	13	29
31	13	28
32	14	29
33	14	28
34	15	28
35	15	27
36	15	26
37	16	26
38	16	25
39	16	25
40	17	24
41	17	23
42	17	23
43	17	22
44	18	22
45	18	21
46	18	21
47	19	20
48	19	20
49	19	19
50	20	19
51	20	18
52	20	18
53	21	17
54	21	17
55	21	17
56	22	16
57	22	16
58	22	15
59	23	15
60	23	15
61	23	14
62	24	14
63	24	13
64	24	13
65	25	13
66	25	12
67	25	12
68	26	11
69	26	11
70	26	11
71	27	10
72	27	10
73	27	9
74	28	9
75	28	9
76	28	8
77	29	8
78	29	7
79	29	7
80	30	7
81	30	6
82	30	6
83	31	5
84	31	5
85	31	5
86	32	4
87	32	4
88	32	4
89	32	3
90	33	3
91	33	2
92	33	2
93	34	2
94	34	1
95	34	1
96	35	1
97	35	0
98	35	0
99	36	0
