PROVINCE,DIVISION,DISTRICT,SUB DIVISION,AREA (sq.km),ALL SEXES (RURAL),MALE (RURAL),FEMALE (RURAL),TRANSGENDER (RURAL),SEX RATIO (RURAL),AVG HOUSEHOLD SIZE (RURAL),POPULATION 1998 (RURAL),ANNUAL GROWTH RATE (RURAL),ALL SEXES (URBAN),MALE (URBAN),FEMALE (URBAN),TRANSGENDER (URBAN),SEX RATIO (URBAN),AVG HOUSEHOLD SIZE (URBAN),POPULATION 1998 (URBAN),ANNUAL GROWTH RATE (URBAN)
PUNJAB,BAHAWALPUR DIVISION,BAHAWALNAGAR DISTRICT,BAHAWALNAGAR TEHSIL,1729,619550,316864,302644,42,104.7,6.1,407768,2.22,193840,98391,95402,47,103.13,6.02,133785,1.97
PUNJAB,BAHAWALPUR DIVISION,BAHAWALNAGAR DISTRICT,CHISHTIAN TEHSIL,1500,540342,273788,266500,54,102.73,6.15,395983,1.65,149424,75546,73851,27,102.3,6.01,102287,2.01
PUNJAB,BAHAWALPUR DIVISION,BAHAWALNAGAR DISTRICT,FORT ABBAS TEHSIL,2536,361240,182655,178541,44,102.3,6.32,250959,1.93,61528,31360,30150,18,104.01,6,34637,3.06
PUNJAB,BAHAWALPUR DIVISION,BAHAWALNAGAR DISTRICT,HAROONABAD TEHSIL,1295,382115,192278,189808,29,101.3,6.15,297343,1.33,142600,71345,71236,19,100.15,6.02,84424,2.79
PUNJAB,BAHAWALPUR DIVISION,BAHAWALNAGAR DISTRICT,MINCHINABAD TEHSIL,1818,452723,231506,221178,39,104.67,6.29,316593,1.9,72294,36694,35590,10,103.1,6.34,37668,3.48
PUNJAB,BAHAWALPUR DIVISION,BAHAWALPUR DISTRICT,AHMADPUR EAST TEHSIL,1738,902476,461525,440889,62,104.68,6.53,601406,2.16,176110,90003,86081,26,104.56,6.28,116891,2.18
PUNJAB,BAHAWALPUR DIVISION,BAHAWALPUR DISTRICT,BAHAWALPUR CITY TEHSIL,1490,0,0,0,0,0,0,62916,0,682116,350186,331842,88,105.53,5.91,356626,3.47
PUNJAB,BAHAWALPUR DIVISION,BAHAWALPUR DISTRICT,BAHAWALPUR SADDAR TEHSIL,745,467938,239541,228346,51,104.9,6.33,314428,2.11,107948,62009,45927,12,135.02,5.98,72610,2.11
PUNJAB,BAHAWALPUR DIVISION,BAHAWALPUR DISTRICT,HASILPUR TEHSIL,1490,340747,171117,169620,10,100.88,6.03,246218,1.72,115613,57743,57853,17,99.81,6.09,71295,2.57
PUNJAB,BAHAWALPUR DIVISION,BAHAWALPUR DISTRICT,KHAIRPUR TAMEWALI TEHSIL,993,221431,112952,108476,3,104.13,6.22,157049,1.82,41492,20981,20507,4,102.31,5.75,26854,2.31
