Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1991","1991","7021","Annual value","LCU","23675","A","Official figure"
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1991","1991","7001","January","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1991","1991","7002","February","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1991","1991","7003","March","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1991","1991","7004","April","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1991","1991","7005","May","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1991","1991","7006","June","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1991","1991","7007","July","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1991","1991","7008","August","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1991","1991","7009","September","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1991","1991","7010","October","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1991","1991","7011","November","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1991","1991","7012","December","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1992","1992","7021","Annual value","LCU","20175","A","Official figure"
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1992","1992","7001","January","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1992","1992","7002","February","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1992","1992","7003","March","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1992","1992","7004","April","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1992","1992","7005","May","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1992","1992","7006","June","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1992","1992","7007","July","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1992","1992","7008","August","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1992","1992","7009","September","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1992","1992","7010","October","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1992","1992","7011","November","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1992","1992","7012","December","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1993","1993","7021","Annual value","LCU","20350","A","Official figure"
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1993","1993","7001","January","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1993","1993","7002","February","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1993","1993","7003","March","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1993","1993","7004","April","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1993","1993","7005","May","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1993","1993","7006","June","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1993","1993","7007","July","","","",""
"PP","Producer Prices","586","Pakistan","5530","Producer Price (LCU/tonne)","01341","Apples","1993","1993","7008","August","","","",""
