<<<<<<< HEAD
,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
0,0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False
1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False
4,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
5,0,3,male,,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True
6,0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True
7,0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False
9,1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False
10,1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True
12,0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
13,0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False
14,0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True
16,0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False
17,1,2,male,,0,0,13.0,S,Second,man,True,,Southampton,yes,True
18,0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False
19,1,3,female,,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True
20,0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True
22,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True
23,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True
24,0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False
26,0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
27,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False
28,1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True
29,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
30,0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True
31,1,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False
32,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
33,0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
34,0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False
35,0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False
36,1,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True
37,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
38,0,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False
39,1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False
40,0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False
41,0,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False
42,0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True
43,1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True
45,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
46,0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False
47,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
48,0,3,male,,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False
49,0,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False
50,0,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False
51,0,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True
52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False
53,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
54,0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False
55,1,1,male,,0,0,35.5,S,First,man,True,C,Southampton,yes,True
56,1,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
57,0,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
58,1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False
59,0,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False
60,0,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
61,1,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True
62,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False
63,0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False
64,0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True
65,1,3,male,,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False
66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True
67,0,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True
68,1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False
69,0,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False
70,0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
71,0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False
72,0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True
73,0,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False
74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True
75,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True
76,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
77,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
78,1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False
79,1,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True
80,0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True
81,1,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True
82,1,3,female,,0,0,7.7875,Q,Third,woman,False,,Queenstown,yes,True
83,0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True
84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False
86,0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False
87,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
88,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
89,0,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
90,0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
91,0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True
92,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False
93,0,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False
94,0,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
95,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
96,0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False
98,1,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False
99,0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False
100,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True
101,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
102,0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False
103,0,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True
